cafe_name,avg_review_sentiment_score
나우커피서울시 양천구 목2동,0.9913684725761414
나우커피수락리버시티점 노원구 상계1동,0.74
나우커피신촌 서대문구 북아현동,0.9866213798522948
나이스카페인클럽 구로구 구로3동,0.9873549044132232
나이스카페인클럽구로디지털단지 구로구 구로3동,0.9873549044132232
나폴레옹과자점 광진구 자양3동,0.98833562930425
나하무 종로구 사직동,0.7572978734970093
낙원장 종로구 종로1.2.3.4가동,0.841972328001453
날쌘카페 노원구 상계5동,0.993858277797699
남자;커피를말하다.byKRoasters 구로구 구로3동,0.8916134238243103
네스토 영등포구 당산1동,0.7195518016815186
네오베이커리 동작구 사당1동,0.9778543452421824
노먼데이 은평구 응암3동,0.9936715364456176
노벨티 은평구 진관동,0.8113040636567509
노블레스스크린 노원구 상계6.7동,0.8389718174934387
노우즈 종로구 종로1.2.3.4가동,0.8702204823493958
노워리즈 성동구 용답동,0.9947734475135804
논탄토 양천구 목1동,0.9911630153656006
놀면뭐하개 금천구 독산3동,0.9
놀숲 동대문구 회기동,0.6828182581593009
놀숲연신내 은평구 갈현1동,0.9947043061256408
누아주베이커리 강남구 압구정동,0.8011349674065908
눅스커피 강동구 둔촌2동,0.988925039768219
눅커피바 송파구 방이2동,0.7156686663627625
뉴델리베이커리 강동구 암사1동,0.9863067269325256
뉴타입그루브 동작구 사당3동,0.8518012966428484
니드스윗 송파구 송파1동,0.9830469489097596
다니케이크 광진구 중곡1동,0.9841215550899506
다락방이야기 서대문구 홍은2동,0.9011178731918336
다락빵 영등포구 당산2동,0.8223375618457794
다선 서초구 반포4동,0.6339412212371826
다아는커피 성북구 석관동,0.8037832108594604
다온카페 서대문구 홍제3동,0.9622023979822796
다이아빈 마포구 상암동,0.7271060585975647
단조 중랑구 면목2동,0.9929219484329224
달과수제청 중랑구 면목4동,0.9946120977401732
달다곰이행당 성동구 행당2동,0.0200291872024536
달리는커피 금천구 가산동,0.2574250698089599
달리는커피독산 금천구 독산1동,0.2574250698089599
달리는커피상도점 동작구 상도4동,0.9887451231479644
